departamento;t_completo;t_ocasional;hora_catedra;anio;periodo;formacion
29;3;0;3;2011;2;3
29;1;0;3;2011;2;4
30;1;0;0;2011;2;1
30;2;0;1;2011;2;2
30;1;1;1;2011;2;3
30;1;2;4;2011;2;4
22;2;0;0;2011;2;1
22;5;0;5;2011;2;2
22;2;1;14;2011;2;3
22;0;0;4;2011;2;4
23;5;0;1;2011;2;1
23;8;2;9;2011;2;2
23;1;0;2;2011;2;3
23;0;0;1;2011;2;4
24;1;0;0;2011;2;1
24;3;0;2;2011;2;2
24;6;0;12;2011;2;3
24;1;0;3;2011;2;4
25;1;0;0;2011;2;1
25;4;0;1;2011;2;2
25;4;3;10;2011;2;3
25;0;1;4;2011;2;4
26;0;0;0;2011;2;1
26;7;0;0;2011;2;2
26;0;1;5;2011;2;3
26;0;1;3;2011;2;4
27;2;0;0;2011;2;1
27;4;0;2;2011;2;2
27;0;0;2;2011;2;3
27;1;0;6;2011;2;4
4;0;0;0;2012;1;1
4;4;0;0;2012;1;2
4;1;1;4;2012;1;3
4;1;1;6;2012;1;4
1;2;0;0;2012;1;1
1;5;0;2;2012;1;2
1;4;1;7;2012;1;3
1;1;0;2;2012;1;4
2;1;0;0;2012;1;1
2;3;0;2;2012;1;2
2;4;1;15;2012;1;3
2;1;1;3;2012;1;4
3;0;0;0;2012;1;1
3;3;0;2;2012;1;2
3;2;1;4;2012;1;3
3;3;4;22;2012;1;4
5;3;0;0;2012;1;1
5;7;1;5;2012;1;2
5;0;0;2;2012;1;3
5;0;1;4;2012;1;4
6;3;0;0;2012;1;1
6;7;1;1;2012;1;2
6;0;0;1;2012;1;3
6;0;1;4;2012;1;4
16;0;0;0;2012;1;1
16;5;1;1;2012;1;2
16;0;0;5;2012;1;3
16;0;0;2;2012;1;4
17;0;0;0;2012;1;1
17;1;0;4;2012;1;2
17;1;0;38;2012;1;3
17;0;1;6;2012;1;4
7;0;0;0;2012;1;1
7;5;0;1;2012;1;2
7;2;2;5;2012;1;3
7;2;3;4;2012;1;4
8;1;0;0;2012;1;1
8;2;0;2;2012;1;2
8;2;3;18;2012;1;3
8;0;0;4;2012;1;4
9;1;0;0;2012;1;1
9;2;0;1;2012;1;2
9;1;1;9;2012;1;3
9;0;0;3;2012;1;4
10;2;0;0;2012;1;1
10;3;0;3;2012;1;2
10;0;0;1;2012;1;3
10;0;0;4;2012;1;4
11;1;0;1;2012;1;1
11;9;1;3;2012;1;2
11;0;0;1;2012;1;3
11;0;0;5;2012;1;4
12;1;0;0;2012;1;1
12;2;0;0;2012;1;2
12;2;1;1;2012;1;3
12;0;1;1;2012;1;4
13;5;0;0;2012;1;1
13;8;2;4;2012;1;2
13;2;0;25;2012;1;3
13;0;1;36;2012;1;4
14;2;0;0;2012;1;1
14;5;1;7;2012;1;2
14;0;2;5;2012;1;3
14;0;1;6;2012;1;4
15;1;0;0;2012;1;1
15;5;0;0;2012;1;2
15;1;0;2;2012;1;3
15;0;1;0;2012;1;4
18;4;0;1;2012;1;1
18;6;3;3;2012;1;2
18;2;0;1;2012;1;3
18;0;1;7;2012;1;4
19;5;0;0;2012;1;1
19;4;0;6;2012;1;2
19;1;0;2;2012;1;3
19;0;1;5;2012;1;4
20;1;0;0;2012;1;1
20;20;0;8;2012;1;2
20;4;1;14;2012;1;3
20;0;1;11;2012;1;4
21;6;0;0;2012;1;1
21;5;2;2;2012;1;2
21;0;0;9;2012;1;3
21;0;0;5;2012;1;4
28;3;0;0;2012;1;1
28;3;1;1;2012;1;2
28;1;0;4;2012;1;3
28;1;0;4;2012;1;4
29;0;0;0;2012;1;1
29;4;0;3;2012;1;2
29;3;0;8;2012;1;3
29;1;0;7;2012;1;4
30;1;0;0;2012;1;1
30;2;0;1;2012;1;2
30;1;0;0;2012;1;3
30;1;1;5;2012;1;4
22;2;0;0;2012;1;1
22;4;0;4;2012;1;2
22;3;0;14;2012;1;3
22;0;0;4;2012;1;4
23;5;0;0;2012;1;1
23;9;3;10;2012;1;2
23;1;0;2;2012;1;3
23;0;0;2;2012;1;4
24;1;0;0;2012;1;1
24;3;0;3;2012;1;2
24;6;1;5;2012;1;3
24;1;0;6;2012;1;4
25;1;0;0;2012;1;1
25;7;1;1;2012;1;2
25;1;3;11;2012;1;3
25;0;0;11;2012;1;4
26;0;0;0;2012;1;1
26;8;0;1;2012;1;2
26;0;0;5;2012;1;3
26;0;2;6;2012;1;4
27;2;0;0;2012;1;1
27;4;1;1;2012;1;2
27;1;0;4;2012;1;3
27;0;1;5;2012;1;4
4;0;0;0;2012;2;1
4;4;0;1;2012;2;2
4;1;0;6;2012;2;3
4;1;2;1;2012;2;4
1;3;0;0;2012;2;1
1;4;1;1;2012;2;2
1;4;0;9;2012;2;3
1;1;0;3;2012;2;4
2;1;0;0;2012;2;1
2;3;0;1;2012;2;2
2;4;0;17;2012;2;3
2;1;0;4;2012;2;4
3;0;0;0;2012;2;1
3;3;1;1;2012;2;2
3;2;2;3;2012;2;3
3;3;3;31;2012;2;4
5;3;0;0;2012;2;1
5;7;1;4;2012;2;2
5;0;0;4;2012;2;3
5;0;1;4;2012;2;4
6;4;0;0;2012;2;1
6;6;1;2;2012;2;2
6;0;0;0;2012;2;3
6;0;2;5;2012;2;4
16;0;0;0;2012;2;1
16;5;1;1;2012;2;2
16;0;0;2;2012;2;3
16;0;0;0;2012;2;4
17;0;0;0;2012;2;1
17;1;0;4;2012;2;2
17;1;0;31;2012;2;3
17;0;0;9;2012;2;4
7;0;0;0;2012;2;1
7;5;0;2;2012;2;2
7;2;3;5;2012;2;3
7;2;2;2;2012;2;4
8;1;0;0;2012;2;1
8;2;0;2;2012;2;2
8;2;4;19;2012;2;3
8;0;0;2;2012;2;4
9;1;0;0;2012;2;1
9;2;0;2;2012;2;2
9;1;1;8;2012;2;3
9;0;0;0;2012;2;4
10;2;0;0;2012;2;1
10;3;0;6;2012;2;2
10;0;0;4;2012;2;3
10;0;1;3;2012;2;4
11;1;0;3;2012;2;1
11;9;0;5;2012;2;2
11;0;0;2;2012;2;3
11;0;0;2;2012;2;4
12;1;0;0;2012;2;1
12;2;0;0;2012;2;2
12;2;1;1;2012;2;3
12;0;1;1;2012;2;4
13;5;0;0;2012;2;1
13;9;3;5;2012;2;2
13;1;0;24;2012;2;3
13;0;0;26;2012;2;4
14;2;0;0;2012;2;1
14;5;0;6;2012;2;2
14;0;1;7;2012;2;3
14;0;1;8;2012;2;4
15;1;0;0;2012;2;1
15;6;0;0;2012;2;2
15;0;0;2;2012;2;3
15;0;0;1;2012;2;4
18;5;0;1;2012;2;1
18;5;2;3;2012;2;2
18;2;0;1;2012;2;3
18;0;1;3;2012;2;4
19;5;0;0;2012;2;1
19;4;0;6;2012;2;2
19;1;0;3;2012;2;3
19;0;0;5;2012;2;4
20;1;0;0;2012;2;1
20;21;0;5;2012;2;2
20;3;1;11;2012;2;3
20;0;0;16;2012;2;4
21;6;0;0;2012;2;1
21;5;0;2;2012;2;2
21;0;0;4;2012;2;3
21;0;0;7;2012;2;4
28;3;0;0;2012;2;1
28;3;1;1;2012;2;2
28;1;0;3;2012;2;3
28;1;1;2;2012;2;4
29;0;0;0;2012;2;1
29;4;0;0;2012;2;2
29;3;0;8;2012;2;3
29;1;2;2;2012;2;4
30;1;0;0;2012;2;1
30;2;1;0;2012;2;2
30;1;0;2;2012;2;3
30;1;3;3;2012;2;4
22;2;0;0;2012;2;1
